INFO 2026-01-03 23:18:12,880 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 22:58:59,804 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 22:59:43,850 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 23:00:32,283 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 23:08:40,649 autoreload C:\Users\Utilisateur\Desktop\GI2026C\projet\settings.py changed, reloading.
INFO 2026-01-04 23:08:42,417 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 23:09:08,338 autoreload Watching for file changes with StatReloader
INFO 2026-01-04 23:11:00,672 autoreload C:\Users\Utilisateur\Desktop\GI2026C\projet\settings.py changed, reloading.
INFO 2026-01-04 23:11:02,294 autoreload Watching for file changes with StatReloader
WARNING 2026-01-04 23:11:10,577 base Session data corrupted
INFO 2026-01-04 23:11:10,603 log "GET /admin/DHT/dht11/ HTTP/1.1" 302 0
WARNING 2026-01-04 23:11:10,610 base Session data corrupted
INFO 2026-01-04 23:11:10,781 log "GET /admin/login/?next=/admin/DHT/dht11/ HTTP/1.1" 200 4178
INFO 2026-01-04 23:11:10,864 basehttp - Broken pipe from ('127.0.0.1', 53794)
INFO 2026-01-04 23:11:10,865 basehttp - Broken pipe from ('127.0.0.1', 57599)
INFO 2026-01-04 23:11:10,866 basehttp - Broken pipe from ('127.0.0.1', 59054)
INFO 2026-01-04 23:11:10,870 basehttp - Broken pipe from ('127.0.0.1', 58030)
INFO 2026-01-04 23:11:10,870 basehttp - Broken pipe from ('127.0.0.1', 55654)
INFO 2026-01-04 23:11:10,873 basehttp - Broken pipe from ('127.0.0.1', 55489)
WARNING 2026-01-04 23:11:18,333 base Session data corrupted
INFO 2026-01-04 23:11:18,337 log "GET /admin/ HTTP/1.1" 302 0
WARNING 2026-01-04 23:11:18,350 base Session data corrupted
INFO 2026-01-04 23:11:18,360 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4158
INFO 2026-01-04 23:11:18,908 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-01-04 23:11:18,934 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-01-04 23:11:18,940 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-01-04 23:11:18,941 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-01-04 23:11:18,941 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16194
INFO 2026-01-04 23:11:18,950 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:18,962 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
WARNING 2026-01-04 23:11:19,035 base Session data corrupted
INFO 2026-01-04 23:11:19,044 log "HEAD /admin/login/?next=/admin/ HTTP/1.1" 200 0
WARNING 2026-01-04 23:11:25,222 base Session data corrupted
INFO 2026-01-04 23:11:26,550 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-01-04 23:11:26,627 log "GET /admin/ HTTP/1.1" 200 11088
INFO 2026-01-04 23:11:26,665 log "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2026-01-04 23:11:26,681 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2026-01-04 23:11:26,681 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2026-01-04 23:11:26,780 log "HEAD /admin/ HTTP/1.1" 200 0
INFO 2026-01-04 23:11:36,961 log "GET /admin/DHT/dht11/ HTTP/1.1" 200 45119
INFO 2026-01-04 23:11:36,995 log "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,016 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,017 log "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,016 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,016 log "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,017 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,027 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,028 log "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,029 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,047 log "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,059 log "GET /admin/jsi18n/ HTTP/1.1" 200 8634
INFO 2026-01-04 23:11:37,109 log "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2026-01-04 23:11:37,286 log "HEAD /admin/DHT/dht11/ HTTP/1.1" 200 0
INFO 2026-01-04 23:11:56,452 log "GET /api/home/ HTTP/1.1" 200 12279
WARNING 2026-01-04 23:11:56,677 base Session data corrupted
INFO 2026-01-04 23:11:56,680 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:11:56,710 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
INFO 2026-01-04 23:11:56,713 log "HEAD /api/home/ HTTP/1.1" 200 0
WARNING 2026-01-04 23:12:06,694 base Session data corrupted
INFO 2026-01-04 23:12:06,696 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:06,702 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
INFO 2026-01-04 23:12:12,316 log "GET /api/home/ HTTP/1.1" 200 12279
WARNING 2026-01-04 23:12:12,370 base Session data corrupted
INFO 2026-01-04 23:12:12,375 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:12,375 log "HEAD /api/home/ HTTP/1.1" 200 0
INFO 2026-01-04 23:12:12,385 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:12:23,171 base Session data corrupted
INFO 2026-01-04 23:12:23,173 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:23,178 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:12:33,179 base Session data corrupted
INFO 2026-01-04 23:12:33,182 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:33,187 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:12:43,167 base Session data corrupted
INFO 2026-01-04 23:12:43,168 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:43,173 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:12:53,176 base Session data corrupted
INFO 2026-01-04 23:12:53,178 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:12:53,182 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:13:03,168 base Session data corrupted
INFO 2026-01-04 23:13:03,169 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:13:03,176 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:13:13,176 base Session data corrupted
INFO 2026-01-04 23:13:13,178 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:13:13,183 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:13:23,179 base Session data corrupted
INFO 2026-01-04 23:13:23,181 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:13:23,186 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:13:33,179 base Session data corrupted
INFO 2026-01-04 23:13:33,182 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:13:33,190 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:14:22,584 base Session data corrupted
INFO 2026-01-04 23:14:22,589 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:14:22,600 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:14:33,165 base Session data corrupted
INFO 2026-01-04 23:14:33,167 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:14:33,173 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:14:43,173 base Session data corrupted
INFO 2026-01-04 23:14:43,175 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:14:43,181 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:14:53,175 base Session data corrupted
INFO 2026-01-04 23:14:53,177 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:14:53,182 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:15:03,165 base Session data corrupted
INFO 2026-01-04 23:15:03,167 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:15:03,175 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:15:13,173 base Session data corrupted
INFO 2026-01-04 23:15:13,175 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:15:13,180 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:15:33,178 base Session data corrupted
INFO 2026-01-04 23:15:33,180 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:15:33,185 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:16:33,180 base Session data corrupted
INFO 2026-01-04 23:16:33,182 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:16:33,187 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:17:33,185 base Session data corrupted
INFO 2026-01-04 23:17:33,186 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:17:33,192 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:18:33,181 base Session data corrupted
INFO 2026-01-04 23:18:33,183 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:18:33,188 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
WARNING 2026-01-04 23:19:33,167 base Session data corrupted
INFO 2026-01-04 23:19:33,169 log "GET /api/latest/ HTTP/1.1" 302 0
INFO 2026-01-04 23:19:33,179 log "GET /login/?next=/api/latest/ HTTP/1.1" 200 4557
INFO 2026-01-04 23:19:34,754 log "GET /login/ HTTP/1.1" 200 4557
INFO 2026-01-04 23:19:34,832 log "HEAD /login/ HTTP/1.1" 200 0
WARNING 2026-01-04 23:19:41,387 base Session data corrupted
INFO 2026-01-04 23:19:41,448 log "POST /login/ HTTP/1.1" 302 0
WARNING 2026-01-04 23:19:41,521 log Not Found: /dashboard/
WARNING 2026-01-04 23:19:41,523 log "GET /dashboard/ HTTP/1.1" 404 5989
WARNING 2026-01-04 23:19:41,607 log Not Found: /dashboard/
WARNING 2026-01-04 23:19:41,608 log "HEAD /dashboard/ HTTP/1.1" 404 0
